Date,Hour,Minute,Power (kW)
5/2/2012,22,15,12.22
5/2/2012,22,30,12.22
5/2/2012,22,45,11.65
5/2/2012,23,0,11.65
5/2/2012,23,15,11.65
5/2/2012,23,30,11.65
5/2/2012,23,45,12.29
5/3/2012,0,0,12.1
5/3/2012,0,15,12.03
5/3/2012,0,30,12.03
5/3/2012,0,45,12.03
5/3/2012,1,0,11.46
5/3/2012,1,15,11.58
5/3/2012,1,30,11.58
5/3/2012,1,45,11.9
5/3/2012,2,0,11.9
5/3/2012,2,15,12.42
5/3/2012,2,30,16.96
5/3/2012,2,45,12.22
5/3/2012,3,0,11.71
5/3/2012,3,15,12.22
5/3/2012,3,30,11.65
5/3/2012,3,45,11.65
5/3/2012,4,0,11.65
5/3/2012,4,15,12.35
5/3/2012,4,30,15.42
5/3/2012,4,45,12.48
5/3/2012,5,0,12.22
5/3/2012,5,15,12.22
5/3/2012,5,30,12.22
5/3/2012,5,45,11.71
5/3/2012,6,0,11.71
5/3/2012,6,15,11.71
5/3/2012,6,30,12.22
5/3/2012,6,45,11.65
5/3/2012,7,0,11.65
5/3/2012,7,15,14.72
5/3/2012,7,30,11.97
5/3/2012,7,45,14.08
5/3/2012,8,0,11.84
5/3/2012,8,15,11.84
5/3/2012,8,30,11.84
5/3/2012,8,45,11.84
5/3/2012,9,0,11.84
5/3/2012,9,15,11.84
5/3/2012,9,30,18.69
5/3/2012,9,45,14.34
5/3/2012,10,0,20.61
5/3/2012,10,15,12.35
5/3/2012,10,30,18.75
5/3/2012,10,45,12.1
5/3/2012,11,0,12.1
5/3/2012,11,15,12.16
5/3/2012,11,30,12.8
5/3/2012,11,45,23.42
5/3/2012,12,0,19.2
5/3/2012,12,15,20.42
5/3/2012,12,30,12.03
5/3/2012,12,45,18.18
5/3/2012,13,0,17.47
5/3/2012,13,15,17.34
5/3/2012,13,30,12.16
5/3/2012,13,45,14.53
5/3/2012,14,0,12.03
5/3/2012,14,15,20.42
5/3/2012,14,30,12.22
5/3/2012,14,45,11.65
5/3/2012,15,0,12.16
5/3/2012,15,15,18.56
5/3/2012,15,30,16.83
5/3/2012,15,45,12.61
5/3/2012,16,0,11.97
5/3/2012,16,15,11.97
5/3/2012,16,30,14.91
5/3/2012,16,45,18.56
5/3/2012,17,0,17.73
5/3/2012,17,15,12.42
5/3/2012,17,30,11.84
5/3/2012,17,45,11.9
5/3/2012,18,0,11.9
5/3/2012,18,15,12.03
5/3/2012,18,30,14.98
5/3/2012,18,45,12.03
5/3/2012,19,0,12.03
5/3/2012,19,15,12.03
