Date,Hour,Minute,Power (W)
11/3/2013,0,0,5
11/3/2013,0,15,5
11/3/2013,0,30,5
11/3/2013,0,45,5
11/3/2013,1,0,5
11/3/2013,1,15,5
11/3/2013,1,30,5
11/3/2013,1,45,5
11/3/2013,2,0,5
11/3/2013,2,15,5
11/3/2013,2,30,5
11/3/2013,2,45,5
11/3/2013,3,0,5
11/3/2013,3,15,4.99
11/3/2013,3,30,4.99
11/3/2013,3,45,5
11/3/2013,4,0,4.99
11/3/2013,4,15,4.99
11/3/2013,4,30,4.99
11/3/2013,4,45,4.99
11/3/2013,5,0,4.99
11/3/2013,5,15,4.99
11/3/2013,5,30,4.99
11/3/2013,5,45,5
11/3/2013,6,0,4.99
11/3/2013,6,15,4.99
11/3/2013,6,30,5
11/3/2013,6,45,4.99
11/3/2013,7,0,4.99
11/3/2013,7,15,4.99
11/3/2013,7,30,4.99
11/3/2013,7,45,4.99
11/3/2013,8,0,4.99
11/3/2013,8,15,4.99
11/3/2013,8,30,4.99
11/3/2013,8,45,4.99
11/3/2013,9,0,4.98
11/3/2013,9,15,4.99
11/3/2013,9,30,4.99
11/3/2013,9,45,4.98
11/3/2013,10,0,4.98
11/3/2013,10,15,4.98
11/3/2013,10,30,4.98
11/3/2013,10,45,5.48
11/3/2013,11,0,5.95
11/3/2013,11,15,5.67
11/3/2013,11,30,5.67
11/3/2013,11,45,5.67
11/4/2013,12,0,5.67
11/4/2013,12,15,5.67
11/4/2013,12,30,5.68
11/4/2013,12,45,5.67
11/4/2013,13,0,5.67
11/4/2013,13,15,5.67
11/4/2013,13,30,5.67
11/4/2013,13,45,5.67
11/4/2013,15,15,5.67
11/4/2013,15,30,5.67
11/4/2013,15,45,5.67
11/4/2013,16,0,5.67
11/4/2013,16,15,5.67
11/4/2013,16,30,6.08
11/4/2013,16,45,5.73
11/4/2013,17,0,5.84
11/4/2013,17,15,5.96
11/4/2013,17,30,5.67
11/4/2013,17,45,5.77
11/4/2013,18,0,6.01
11/4/2013,18,15,5.67
11/4/2013,18,30,2.58
11/4/2013,18,45,0.66
11/4/2013,19,0,0.66
11/4/2013,19,15,0.65
11/4/2013,19,30,0.66
11/4/2013,19,45,0.67
11/4/2013,20,0,0.66
11/4/2013,20,15,0.64
11/4/2013,20,30,0.65
11/4/2013,20,45,0.65
11/4/2013,21,0,0.66
11/4/2013,21,15,0.65
11/4/2013,21,30,0.66
11/4/2013,21,45,0.66
11/4/2013,22,0,0.66
11/4/2013,22,15,0.65
11/4/2013,22,30,0.65
11/4/2013,22,45,0.66
11/4/2013,23,0,0.66
11/4/2013,23,15,0.65
11/4/2013,23,30,0.65
11/4/2013,23,45,0.65
11/4/2013,0,0,0.65
11/4/2013,0,15,0.66
11/4/2013,0,30,0.66
11/4/2013,0,45,0.66
11/4/2013,1,0,0.66
