Date,Hour,Minute,Power (kW)
5/2/2012,22,15,13.31
5/2/2012,22,30,8.13
5/2/2012,22,45,13.38
5/2/2012,23,0,8.9
5/2/2012,23,15,14.08
5/2/2012,23,30,8.45
5/2/2012,23,45,10.56
5/3/2012,0,0,15.94
5/3/2012,0,15,12.86
5/3/2012,0,30,8.38
5/3/2012,0,45,13.57
5/3/2012,1,0,7.42
5/3/2012,1,15,13.31
5/3/2012,1,30,12.74
5/3/2012,1,45,8.45
5/3/2012,2,0,12.67
5/3/2012,2,15,7.36
5/3/2012,2,30,7.87
5/3/2012,2,45,13.12
5/3/2012,3,0,8
5/3/2012,3,15,12.61
5/3/2012,3,30,7.55
5/3/2012,3,45,7.87
5/3/2012,4,0,7.36
5/3/2012,4,15,7.3
5/3/2012,4,30,13.06
5/3/2012,4,45,7.42
5/3/2012,5,0,12.86
5/3/2012,5,15,7.3
5/3/2012,5,30,13.12
5/3/2012,5,45,7.23
5/3/2012,6,0,7.3
5/3/2012,6,15,12.8
5/3/2012,6,30,8.83
5/3/2012,6,45,12.93
5/3/2012,7,0,7.17
5/3/2012,7,15,13.38
5/3/2012,7,30,13.76
5/3/2012,7,45,7.3
5/3/2012,8,0,8.06
5/3/2012,8,15,12.42
5/3/2012,8,30,7.42
5/3/2012,8,45,13.31
5/3/2012,9,0,7.87
5/3/2012,9,15,14.98
5/3/2012,9,30,7.55
5/3/2012,9,45,14.21
5/3/2012,10,0,7.55
5/3/2012,10,15,7.62
5/3/2012,10,30,12.8
5/3/2012,10,45,7.68
5/3/2012,11,0,13.18
5/3/2012,11,15,7.36
5/3/2012,11,30,7.74
5/3/2012,11,45,7.81
5/3/2012,12,0,7.55
5/3/2012,12,15,14.02
5/3/2012,12,30,8.06
5/3/2012,12,45,14.66
5/3/2012,13,0,7.62
5/3/2012,13,15,13.12
5/3/2012,13,30,7.68
5/3/2012,13,45,12.99
5/3/2012,14,0,7.68
5/3/2012,14,15,13.12
5/3/2012,14,30,7.62
5/3/2012,14,45,8
5/3/2012,15,0,14.02
5/3/2012,15,15,7.94
5/3/2012,15,30,13.44
5/3/2012,15,45,7.49
5/3/2012,16,0,14.14
5/3/2012,16,15,7.68
5/3/2012,16,30,13.95
5/3/2012,16,45,19.26
5/3/2012,17,0,13.5
5/3/2012,17,15,8.19
5/3/2012,17,30,14.02
5/3/2012,17,45,7.68
5/3/2012,18,0,13.57
5/3/2012,18,15,8.06
5/3/2012,18,30,13.63
5/3/2012,18,45,13.12
5/3/2012,19,0,7.74
5/3/2012,19,15,13.5
5/3/2012,19,30,7.74
5/3/2012,19,45,13.63
5/3/2012,20,0,7.81
5/3/2012,20,15,13.31
5/3/2012,20,30,7.3
5/3/2012,20,45,13.25
5/3/2012,21,0,13.76
5/3/2012,21,15,7.81
5/3/2012,21,30,13.12
5/3/2012,21,45,7.49
5/3/2012,22,0,7.81
5/3/2012,22,15,13.12
5/3/2012,22,30,8.32
5/3/2012,22,45,13.89
5/3/2012,23,0,8.83
5/3/2012,23,15,14.14
5/3/2012,23,30,13.06
5/3/2012,23,45,7.68
5/4/2012,0,0,13.44
5/4/2012,0,15,7.87
5/4/2012,0,30,57.22
5/4/2012,0,45,7.36
5/4/2012,1,0,8.06
5/4/2012,1,15,13.44
5/4/2012,1,30,9.66
5/4/2012,1,45,7.81
5/4/2012,2,0,13.44
5/4/2012,2,15,7.49
5/4/2012,2,30,7.55
5/4/2012,2,45,13.7
5/4/2012,3,0,7.3
5/4/2012,3,15,12.99
5/4/2012,3,30,9.41
5/4/2012,3,45,13.25
5/4/2012,4,0,13.06
5/4/2012,4,15,7.42
5/4/2012,4,30,12.42
5/4/2012,4,45,7.68
5/4/2012,5,0,11.84
5/4/2012,5,15,12.67
5/4/2012,5,30,7.1
5/4/2012,5,45,12.1
5/4/2012,6,0,7.55
5/4/2012,6,15,13.63
5/4/2012,6,30,7.94
5/4/2012,6,45,7.3
5/4/2012,7,0,7.36
5/4/2012,7,15,12.16
5/4/2012,7,30,7.49
5/4/2012,7,45,12.54
5/4/2012,8,0,8.06
5/4/2012,8,15,8
5/4/2012,8,30,7.36
5/4/2012,8,45,12.8
5/4/2012,9,0,7.36
5/4/2012,9,15,13.25
5/4/2012,9,30,7.04
5/4/2012,9,45,12.48
5/4/2012,10,0,7.3
5/4/2012,10,15,12.99
5/4/2012,10,30,8.58
5/4/2012,10,45,13.7
5/4/2012,11,0,8.26
5/4/2012,11,15,13.06
5/4/2012,11,30,7.49
5/4/2012,11,45,7.62
5/4/2012,12,0,14.02
5/4/2012,12,15,8.32
5/4/2012,12,30,13.63
5/4/2012,12,45,7.42
5/4/2012,13,0,14.21
5/4/2012,13,15,7.42
5/4/2012,13,30,12.99
5/4/2012,13,45,7.68
5/4/2012,14,0,12.86
5/4/2012,14,15,8.13
5/4/2012,14,30,13.12
5/4/2012,14,45,8.13
5/4/2012,15,0,14.08
5/4/2012,15,15,35.07
5/4/2012,15,30,17.09
5/4/2012,15,45,8.13
5/4/2012,16,0,13.95
5/4/2012,16,15,7.55
5/4/2012,16,30,14.46
5/4/2012,16,45,7.3
5/4/2012,17,0,36.61
5/4/2012,17,15,7.55
5/4/2012,17,30,8
5/4/2012,17,45,7.55
5/4/2012,18,0,14.08
5/4/2012,18,15,8.45
5/4/2012,18,30,14.08
5/4/2012,18,45,14.08
5/4/2012,19,0,8.96
5/4/2012,19,15,13.89
5/4/2012,19,30,8.45
5/4/2012,19,45,13.89
5/4/2012,20,0,13.82
5/4/2012,20,15,9.41
5/4/2012,20,30,8.51
5/4/2012,20,45,14.4
5/4/2012,21,0,13.7
5/4/2012,21,15,9.6
5/4/2012,21,30,13.57
5/4/2012,21,45,8.45
5/4/2012,22,0,14.91
5/4/2012,22,15,9.09
5/4/2012,22,30,13.89
5/4/2012,22,45,14.85
5/4/2012,23,0,24.58
5/4/2012,23,15,14.46
5/4/2012,23,30,8.58
5/4/2012,23,45,14.08
5/5/2012,0,0,7.94
5/5/2012,0,15,13.12
5/5/2012,0,30,7.68
5/5/2012,0,45,12.8
5/5/2012,1,0,7.55
5/5/2012,1,15,7.55
5/5/2012,1,30,7.55
5/5/2012,1,45,14.08
5/5/2012,2,0,13.31
5/5/2012,2,15,8.9
5/5/2012,2,30,7.36
5/5/2012,2,45,7.23
5/5/2012,3,0,8.58
5/5/2012,3,15,12.67
5/5/2012,3,30,12.61
5/5/2012,3,45,7.55
5/5/2012,4,0,13.44
5/5/2012,4,15,7.04
5/5/2012,4,30,12.99
5/5/2012,4,45,7.42
5/5/2012,5,0,12.86
5/5/2012,5,15,8.38
5/5/2012,5,30,13.57
5/5/2012,5,45,7.3
5/5/2012,6,0,7.55
5/5/2012,6,15,7.42
5/5/2012,6,30,15.74
5/5/2012,6,45,9.28
5/5/2012,7,0,13.25
5/5/2012,7,15,7.23
5/5/2012,7,30,12.61
5/5/2012,7,45,8.58
5/5/2012,8,0,13.12
5/5/2012,8,15,7.42
5/5/2012,8,30,7.42
5/5/2012,8,45,13.44
5/5/2012,9,0,7.23
5/5/2012,9,15,7.36
5/5/2012,9,30,12.67
5/5/2012,9,45,7.23
5/5/2012,10,0,7.49
5/5/2012,10,15,13.89
5/5/2012,10,30,7.36
5/5/2012,10,45,7.42
5/5/2012,11,0,13.06
5/5/2012,11,15,12.22
5/5/2012,11,30,7.55
5/5/2012,11,45,12.99
5/5/2012,12,0,7.49
5/5/2012,12,15,7.36
5/5/2012,12,30,13.38
5/5/2012,12,45,7.55
5/5/2012,13,0,12.93
5/5/2012,13,15,7.49
5/5/2012,13,30,7.42
5/5/2012,13,45,12.74
5/5/2012,14,0,7.55
5/5/2012,14,15,7.49
5/5/2012,14,30,13.31
5/5/2012,14,45,7.68
5/5/2012,15,0,13.76
5/5/2012,15,15,7.36
5/5/2012,15,30,13.7
5/5/2012,15,45,8.45
5/5/2012,16,0,14.08
5/5/2012,16,15,7.81
5/5/2012,16,30,13.44
5/5/2012,16,45,8.51
5/5/2012,17,0,12.99
5/5/2012,17,15,7.49
5/5/2012,17,30,12.93
5/5/2012,17,45,7.68
5/5/2012,18,0,7.62
5/5/2012,18,15,41.15
5/5/2012,18,30,7.55
5/5/2012,18,45,13.06
5/5/2012,19,0,7.62
5/5/2012,19,15,12.99
5/5/2012,19,30,31.68
5/5/2012,19,45,12.61
5/5/2012,20,0,8.77
5/5/2012,20,15,8.32
5/5/2012,20,30,12.93
5/5/2012,20,45,8.83
5/5/2012,21,0,14.21
5/5/2012,21,15,8.77
5/5/2012,21,30,13.12
5/5/2012,21,45,13.82
5/5/2012,22,0,7.87
5/5/2012,22,15,33.54
5/5/2012,22,30,7.49
5/5/2012,22,45,8
5/5/2012,23,0,12.99
5/5/2012,23,15,7.23
5/5/2012,23,30,8.64
5/5/2012,23,45,13.7
5/6/2012,0,0,12.29
5/6/2012,0,15,7.49
5/6/2012,0,30,14.72
5/6/2012,0,45,12.86
5/6/2012,1,0,13.12
5/6/2012,1,15,7.49
5/6/2012,1,30,13.31
5/6/2012,1,45,13.18
5/6/2012,2,0,7.23
5/6/2012,2,15,8
5/6/2012,2,30,13.82
5/6/2012,2,45,12.74
5/6/2012,3,0,7.49
5/6/2012,3,15,7.68
5/6/2012,3,30,13.12
5/6/2012,3,45,7.68
5/6/2012,4,0,53.5
5/6/2012,4,15,12.86
5/6/2012,4,30,14.53
5/6/2012,4,45,7.1
5/6/2012,5,0,8.77
5/6/2012,5,15,13.06
5/6/2012,5,30,13.06
5/6/2012,5,45,8.9
5/6/2012,6,0,7.94
5/6/2012,6,15,14.02
5/6/2012,6,30,7.3
5/6/2012,6,45,11.2
5/6/2012,7,0,14.53
5/6/2012,7,15,14.91
5/6/2012,7,30,7.42
5/6/2012,7,45,8.13
5/6/2012,8,0,8
5/6/2012,8,15,13.44
5/6/2012,8,30,14.46
5/6/2012,8,45,7.3
5/6/2012,9,0,7.68
5/6/2012,9,15,13.76
5/6/2012,9,30,7.49
