Date,Hour,Minute,Power (kW)
5/1/2012,0,0,3.2
5/1/2012,0,15,3.71
5/1/2012,0,30,3.26
5/1/2012,0,45,3.26
5/1/2012,1,0,3.26
5/1/2012,1,15,3.84
5/1/2012,1,30,3.26
5/1/2012,1,45,3.26
5/1/2012,2,0,3.26
5/1/2012,2,15,3.26
5/1/2012,2,30,2.56
5/1/2012,2,45,2.56
5/1/2012,3,0,2.56
5/1/2012,3,15,2.56
5/1/2012,3,30,2.56
5/1/2012,3,45,2.56
5/1/2012,4,0,2.56
5/1/2012,4,15,2.56
5/1/2012,4,30,2.56
5/1/2012,4,45,2.56
5/1/2012,5,0,2.56
5/1/2012,5,15,2.56
5/1/2012,5,30,2.56
5/1/2012,5,45,2.56
5/1/2012,6,0,2.56
5/1/2012,6,15,2.56
5/1/2012,6,30,2.56
5/1/2012,6,45,2.56
5/1/2012,7,0,2.56
5/1/2012,7,15,2.56
5/1/2012,7,30,3.39
5/1/2012,7,45,2.88
5/1/2012,8,0,2.88
5/1/2012,8,15,2.88
5/1/2012,8,30,2.88
5/1/2012,8,45,2.88
5/1/2012,9,0,2.37
5/1/2012,9,15,2.37
5/1/2012,9,30,6.66
5/1/2012,9,45,3.39
5/1/2012,10,0,3.39
5/1/2012,10,15,2.88
5/1/2012,10,30,2.88
5/1/2012,10,45,3.52
5/1/2012,11,0,3.39
5/1/2012,11,15,5.63
5/1/2012,11,30,3.14
5/1/2012,11,45,3.14
5/1/2012,12,0,3.14
5/1/2012,12,15,21.18
5/1/2012,12,30,24
5/1/2012,12,45,3.07
5/1/2012,13,0,3.2
5/1/2012,13,15,2.94
5/1/2012,13,30,2.94
5/1/2012,13,45,3.01
5/1/2012,14,0,3.14
5/1/2012,14,15,3.33
5/1/2012,14,30,3.14
5/1/2012,14,45,3.46
5/1/2012,15,0,3.39
5/1/2012,15,15,3.33
5/1/2012,15,30,3.52
5/1/2012,15,45,60.22
5/1/2012,16,0,3.46
5/1/2012,16,15,3.07
5/1/2012,16,30,3.33
5/1/2012,16,45,3.26
5/1/2012,17,0,3.26
5/1/2012,17,15,3.14
5/1/2012,17,30,3.46
5/1/2012,17,45,4.16
5/1/2012,18,0,3.01
5/1/2012,18,15,3.01
5/1/2012,18,30,3.07
5/1/2012,18,45,3.39
5/1/2012,19,0,3.39
5/1/2012,19,15,3.33
5/1/2012,19,30,3.33
5/1/2012,19,45,3.33
5/1/2012,20,0,3.39
5/1/2012,20,15,4.16
5/1/2012,20,30,3.07
5/1/2012,20,45,3.07
5/1/2012,21,0,3.07
5/1/2012,21,15,3.07
5/1/2012,21,30,3.33
5/1/2012,21,45,3.14
5/1/2012,22,0,22.59
5/1/2012,22,15,2.94
5/1/2012,22,30,3.2
5/1/2012,22,45,3.2
5/1/2012,23,0,3.2
5/1/2012,23,15,3.07
5/1/2012,23,30,3.07
5/1/2012,23,45,3.07
5/2/2012,0,0,3.07
5/2/2012,0,15,3.33
5/2/2012,0,30,3.07
5/2/2012,0,45,3.39
5/2/2012,1,0,3.39
5/2/2012,1,15,2.88
5/2/2012,1,30,2.88
5/2/2012,1,45,2.3
5/2/2012,2,0,2.3
5/2/2012,2,15,18.18
5/2/2012,2,30,3.14
5/2/2012,2,45,3.14
5/2/2012,3,0,3.14
5/2/2012,3,15,3.14
5/2/2012,3,30,2.37
5/2/2012,3,45,2.37
5/2/2012,4,0,2.37
5/2/2012,4,15,2.37
5/2/2012,4,30,2.37
5/2/2012,4,45,2.37
5/2/2012,5,0,2.37
5/2/2012,5,15,2.37
5/2/2012,5,30,2.37
5/2/2012,5,45,2.37
5/2/2012,6,0,2.37
5/2/2012,6,15,2.37
5/2/2012,6,30,2.37
5/2/2012,6,45,2.37
5/2/2012,7,0,2.37
5/2/2012,7,15,2.37
5/2/2012,7,30,3.07
5/2/2012,7,45,3.07
5/2/2012,8,0,3.07
5/2/2012,8,15,8.77
5/2/2012,8,30,3.2
5/2/2012,8,45,3.2
5/2/2012,9,0,3.2
5/2/2012,9,15,3.71
5/2/2012,9,30,2.94
5/2/2012,9,45,2.94
5/2/2012,10,0,2.94
5/2/2012,10,15,2.94
5/2/2012,10,30,2.94
5/2/2012,10,45,2.94
5/2/2012,11,0,3.07
5/2/2012,11,15,3.07
5/2/2012,11,30,3.07
5/2/2012,11,45,3.2
5/2/2012,12,0,3.39
5/2/2012,12,15,3.2
5/2/2012,12,30,3.2
5/2/2012,12,45,3.01
5/2/2012,13,0,2.88
5/2/2012,13,15,3.01
5/2/2012,13,30,2.94
5/2/2012,13,45,3.33
5/2/2012,14,0,3.01
5/2/2012,14,15,3.33
5/2/2012,14,30,3.26
5/2/2012,14,45,3.01
5/2/2012,15,0,3.26
5/2/2012,15,15,2.88
5/2/2012,15,30,5.57
5/2/2012,15,45,3.26
5/2/2012,16,0,3.2
5/2/2012,16,15,2.88
5/2/2012,16,30,3.01
5/2/2012,16,45,3.2
5/2/2012,17,0,3.01
5/2/2012,17,15,3.07
5/2/2012,17,30,3.33
5/2/2012,17,45,3.39
5/2/2012,18,0,3.2
5/2/2012,18,15,3.14
5/2/2012,18,30,3.33
5/2/2012,18,45,2.88
5/2/2012,19,0,3.2
5/2/2012,19,15,3.26
5/2/2012,19,30,3.26
5/2/2012,19,45,3.26
5/2/2012,20,0,2.88
5/2/2012,20,15,3.46
5/2/2012,20,30,3.46
5/2/2012,20,45,2.94
5/2/2012,21,0,2.94
5/2/2012,21,15,3.46
5/2/2012,21,30,3.39
5/2/2012,21,45,3.2
5/2/2012,22,0,3.2
5/2/2012,22,15,3.84
5/2/2012,22,30,3.26
5/2/2012,22,45,3.78
5/2/2012,23,0,3.26
5/2/2012,23,15,3.26
5/2/2012,23,30,3.52
5/2/2012,23,45,3.58
5/3/2012,0,0,28.93
5/3/2012,0,15,3.2
5/3/2012,0,30,3.2
5/3/2012,0,45,3.2
5/3/2012,1,0,3.2
5/3/2012,1,15,2.5
5/3/2012,1,30,2.5
5/3/2012,1,45,2.5
5/3/2012,2,0,2.5
5/3/2012,2,15,2.5
5/3/2012,2,30,2.5
5/3/2012,2,45,2.5
5/3/2012,3,0,2.5
5/3/2012,3,15,2.5
5/3/2012,3,30,2.5
5/3/2012,3,45,10.56
5/3/2012,4,0,4.03
5/3/2012,4,15,3.33
5/3/2012,4,30,3.33
5/3/2012,4,45,3.33
5/3/2012,5,0,3.33
5/3/2012,5,15,2.62
5/3/2012,5,30,2.62
5/3/2012,5,45,2.62
5/3/2012,6,0,2.62
5/3/2012,6,15,2.62
5/3/2012,6,30,2.62
5/3/2012,6,45,2.62
5/3/2012,7,0,2.62
5/3/2012,7,15,2.62
5/3/2012,7,30,2.62
5/3/2012,7,45,3.07
5/3/2012,8,0,2.82
5/3/2012,8,15,3.58
5/3/2012,8,30,3.07
5/3/2012,8,45,3.07
5/3/2012,9,0,3.07
5/3/2012,9,15,3.33
5/3/2012,9,30,3.33
5/3/2012,9,45,3.33
5/3/2012,10,0,3.33
5/3/2012,10,15,3.33
5/3/2012,10,30,3.33
5/3/2012,10,45,3.33
5/3/2012,11,0,3.01
5/3/2012,11,15,3.14
5/3/2012,11,30,3.14
5/3/2012,11,45,3.46
5/3/2012,12,0,3.26
5/3/2012,12,15,3.14
5/3/2012,12,30,3.01
5/3/2012,12,45,2.94
5/3/2012,13,0,2.94
5/3/2012,13,15,9.66
5/3/2012,13,30,3.39
5/3/2012,13,45,3.14
5/3/2012,14,0,2.88
5/3/2012,14,15,2.88
5/3/2012,14,30,51.07
5/3/2012,14,45,2.94
5/3/2012,15,0,2.94
5/3/2012,15,15,3.9
5/3/2012,15,30,3.39
5/3/2012,15,45,2.94
5/3/2012,16,0,3.07
5/3/2012,16,15,3.26
5/3/2012,16,30,3.14
5/3/2012,16,45,3.01
5/3/2012,17,0,3.01
5/3/2012,17,15,3.39
5/3/2012,17,30,2.88
5/3/2012,17,45,3.33
5/3/2012,18,0,3.33
5/3/2012,18,15,3.33
5/3/2012,18,30,3.39
5/3/2012,18,45,3.2
5/3/2012,19,0,3.33
5/3/2012,19,15,3.33
5/3/2012,19,30,3.2
5/3/2012,19,45,3.14
5/3/2012,20,0,3.01
5/3/2012,20,15,3.14
5/3/2012,20,30,3.39
5/3/2012,20,45,3.39
5/3/2012,21,0,3.33
5/3/2012,21,15,3.01
5/3/2012,21,30,3.01
5/3/2012,21,45,3.01
5/3/2012,22,0,4.86
5/3/2012,22,15,3.01
5/3/2012,22,30,3.2
5/3/2012,22,45,3.07
5/3/2012,23,0,2.94
5/3/2012,23,15,2.94
5/3/2012,23,30,2.94
5/3/2012,23,45,2.94
5/4/2012,0,0,3.26
5/4/2012,0,15,3.26
5/4/2012,0,30,3.26
5/4/2012,0,45,3.26
5/4/2012,1,0,2.56
5/4/2012,1,15,2.56
5/4/2012,1,30,2.56
5/4/2012,1,45,2.56
5/4/2012,2,0,2.56
5/4/2012,2,15,2.56
5/4/2012,2,30,19.46
5/4/2012,2,45,3.01
5/4/2012,3,0,3.01
5/4/2012,3,15,3.01
5/4/2012,3,30,3.01
5/4/2012,3,45,2.37
5/4/2012,4,0,2.37
5/4/2012,4,15,2.37
5/4/2012,4,30,2.37
5/4/2012,4,45,2.37
5/4/2012,5,0,2.37
5/4/2012,5,15,2.37
5/4/2012,5,30,2.37
5/4/2012,5,45,3.07
5/4/2012,6,0,3.07
5/4/2012,6,15,3.07
5/4/2012,6,30,3.07
5/4/2012,6,45,2.43
5/4/2012,7,0,2.43
5/4/2012,7,15,2.43
5/4/2012,7,30,2.43
5/4/2012,7,45,2.43
5/4/2012,8,0,3.33
5/4/2012,8,15,3.39
5/4/2012,8,30,3.39
5/4/2012,8,45,3.33
5/4/2012,9,0,3.33
5/4/2012,9,15,3.33
5/4/2012,9,30,3.33
5/4/2012,9,45,2.62
5/4/2012,10,0,2.62
5/4/2012,10,15,2.62
5/4/2012,10,30,2.88
5/4/2012,10,45,2.88
5/4/2012,11,0,3.14
5/4/2012,11,15,3.01
5/4/2012,11,30,2.88
5/4/2012,11,45,3.33
5/4/2012,12,0,3.2
5/4/2012,12,15,3.26
5/4/2012,12,30,3.01
5/4/2012,12,45,3.2
5/4/2012,13,0,3.14
5/4/2012,13,15,3.07
5/4/2012,13,30,3.14
5/4/2012,13,45,3.97
5/4/2012,14,0,2.94
5/4/2012,14,15,2.94
5/4/2012,14,30,2.94
5/4/2012,14,45,3.71
5/4/2012,15,0,3.2
5/4/2012,15,15,3.2
5/4/2012,15,30,3.2
5/4/2012,15,45,3.2
5/4/2012,16,0,3.26
5/4/2012,16,15,3.39
5/4/2012,16,30,2.88
5/4/2012,16,45,2.88
5/4/2012,17,0,3.52
5/4/2012,17,15,3.33
5/4/2012,17,30,2.88
5/4/2012,17,45,2.88
5/4/2012,18,0,2.88
5/4/2012,18,15,3.39
5/4/2012,18,30,2.88
5/4/2012,18,45,3.26
5/4/2012,19,0,3.26
5/4/2012,19,15,3.26
5/4/2012,19,30,3.01
5/4/2012,19,45,3.58
5/4/2012,20,0,3.33
5/4/2012,20,15,3.33
5/4/2012,20,30,3.33
5/4/2012,20,45,3.33
5/4/2012,21,0,3.01
5/4/2012,21,15,3.2
5/4/2012,21,30,3.2
5/4/2012,21,45,3.2
5/4/2012,22,0,3.07
5/4/2012,22,15,3.07
5/4/2012,22,30,3.52
5/4/2012,22,45,3.01
5/4/2012,23,0,3.14
5/4/2012,23,15,3.26
5/4/2012,23,30,3.26
5/4/2012,23,45,3.46
5/5/2012,0,0,3.14
5/5/2012,0,15,3.26
5/5/2012,0,30,3.26
5/5/2012,0,45,3.97
5/5/2012,1,0,3.07
5/5/2012,1,15,3.07
5/5/2012,1,30,3.07
5/5/2012,1,45,3.07
5/5/2012,2,0,2.43
5/5/2012,2,15,2.43
5/5/2012,2,30,2.43
5/5/2012,2,45,3.33
5/5/2012,3,0,3.33
5/5/2012,3,15,3.33
5/5/2012,3,30,3.33
5/5/2012,3,45,2.18
5/5/2012,4,0,2.18
5/5/2012,4,15,2.18
5/5/2012,4,30,2.18
5/5/2012,4,45,2.18
5/5/2012,5,0,2.18
5/5/2012,5,15,2.18
5/5/2012,5,30,2.18
5/5/2012,5,45,2.18
5/5/2012,6,0,2.18
5/5/2012,6,15,2.18
5/5/2012,6,30,2.18
5/5/2012,6,45,2.18
5/5/2012,7,0,2.18
5/5/2012,7,15,2.69
5/5/2012,7,30,2.69
5/5/2012,7,45,2.69
5/5/2012,8,0,2.69
5/5/2012,8,15,2.69
5/5/2012,8,30,3.14
5/5/2012,8,45,3.14
5/5/2012,9,0,3.01
5/5/2012,9,15,3.01
5/5/2012,9,30,3.01
5/5/2012,9,45,2.88
5/5/2012,10,0,2.88
5/5/2012,10,15,3.39
5/5/2012,10,30,2.88
5/5/2012,10,45,2.88
5/5/2012,11,0,2.88
5/5/2012,11,15,2.37
5/5/2012,11,30,2.88
5/5/2012,11,45,2.88
5/5/2012,12,0,2.88
5/5/2012,12,15,3.33
5/5/2012,12,30,3.33
5/5/2012,12,45,3.33
5/5/2012,13,0,3.33
5/5/2012,13,15,2.5
5/5/2012,13,30,2.5
5/5/2012,13,45,2.5
5/5/2012,14,0,2.5
5/5/2012,14,15,3.01
5/5/2012,14,30,3.52
5/5/2012,14,45,3.2
5/5/2012,15,0,3.2
5/5/2012,15,15,3.2
5/5/2012,15,30,3.2
5/5/2012,15,45,2.5
5/5/2012,16,0,3.65
5/5/2012,16,15,7.87
5/5/2012,16,30,2.88
5/5/2012,16,45,2.88
5/5/2012,17,0,2.88
5/5/2012,17,15,2.88
5/5/2012,17,30,2.94
5/5/2012,17,45,3.07
5/5/2012,18,0,5.7
5/5/2012,18,15,3.2
5/5/2012,18,30,3.2
5/5/2012,18,45,3.33
5/5/2012,19,0,3.33
5/5/2012,19,15,3.33
5/5/2012,19,30,3.33
5/5/2012,19,45,3.33
5/5/2012,20,0,22.66
5/5/2012,20,15,3.07
5/5/2012,20,30,3.33
5/5/2012,20,45,3.26
5/5/2012,21,0,3.26
5/5/2012,21,15,3.26
5/5/2012,21,30,3.26
5/5/2012,21,45,2.62
5/5/2012,22,0,2.62
5/5/2012,22,15,2.62
5/5/2012,22,30,2.62
5/5/2012,22,45,2.62
5/5/2012,23,0,2.62
5/5/2012,23,15,2.62
5/5/2012,23,30,2.62
5/5/2012,23,45,2.62
5/6/2012,0,0,2.62
5/6/2012,0,15,2.62
5/6/2012,0,30,2.62
5/6/2012,0,45,2.62
5/6/2012,1,0,2.62
5/6/2012,1,15,2.62
5/6/2012,1,30,2.62
5/6/2012,1,45,2.62
5/6/2012,2,0,2.62
5/6/2012,2,15,2.62
5/6/2012,2,30,2.62
5/6/2012,2,45,2.62
5/6/2012,3,0,2.62
5/6/2012,3,15,2.88
5/6/2012,3,30,2.88
5/6/2012,3,45,3.2
5/6/2012,4,0,3.33
5/6/2012,4,15,3.33
5/6/2012,4,30,3.33
5/6/2012,4,45,3.33
5/6/2012,5,0,2.56
5/6/2012,5,15,2.56
5/6/2012,5,30,3.07
5/6/2012,5,45,3.07
5/6/2012,6,0,3.07
5/6/2012,6,15,3.07
5/6/2012,6,30,2.43
5/6/2012,6,45,2.43
5/6/2012,7,0,2.43
5/6/2012,7,15,2.43
5/6/2012,7,30,2.43
5/6/2012,7,45,2.43
5/6/2012,8,0,19.14
5/6/2012,8,15,3.14
5/6/2012,8,30,3.14
5/6/2012,8,45,3.14
5/6/2012,9,0,3.14
5/6/2012,9,15,2.5
5/6/2012,9,30,3.33
5/6/2012,9,45,2.94
