Date,Hour,Minute,Power (kW)
5/1/2012,0,0,0.96
5/1/2012,0,15,1.02
5/1/2012,0,30,2.75
5/1/2012,0,45,2.75
5/1/2012,1,0,2.75
5/1/2012,1,15,2.37
5/1/2012,1,30,2.37
5/1/2012,1,45,2.37
5/1/2012,2,0,2.37
5/1/2012,2,15,1.09
5/1/2012,2,30,1.09
5/1/2012,2,45,1.09
5/1/2012,3,0,1.09
5/1/2012,3,15,1.09
5/1/2012,3,30,1.09
5/1/2012,3,45,1.09
5/1/2012,4,0,1.09
5/1/2012,4,15,1.09
5/1/2012,4,30,1.09
5/1/2012,4,45,1.09
5/1/2012,5,0,1.09
5/1/2012,5,15,1.09
5/1/2012,5,30,1.09
5/1/2012,5,45,1.09
5/1/2012,6,0,1.09
5/1/2012,6,15,1.09
5/1/2012,6,30,1.09
5/1/2012,6,45,1.09
5/1/2012,7,0,1.09
5/1/2012,7,15,1.09
5/1/2012,7,30,2.62
5/1/2012,7,45,2.43
5/1/2012,8,0,2.43
5/1/2012,8,15,2.43
5/1/2012,8,30,2.43
5/1/2012,8,45,1.09
5/1/2012,9,0,1.09
5/1/2012,9,15,1.09
5/1/2012,9,30,1.09
5/1/2012,9,45,2.75
5/1/2012,10,0,2.75
5/1/2012,10,15,2.75
5/1/2012,10,30,2.75
5/1/2012,10,45,0.9
5/1/2012,11,0,2.5
5/1/2012,11,15,2.75
5/1/2012,11,30,2.75
5/1/2012,11,45,2.75
5/1/2012,12,0,2.88
5/1/2012,12,15,2.69
5/1/2012,12,30,2.69
5/1/2012,12,45,2.62
5/1/2012,13,0,3.52
5/1/2012,13,15,3.58
5/1/2012,13,30,2.3
5/1/2012,13,45,2.3
5/1/2012,14,0,2.3
5/1/2012,14,15,2.5
5/1/2012,14,30,2.5
5/1/2012,14,45,2.5
5/1/2012,15,0,3.71
5/1/2012,15,15,2.75
5/1/2012,15,30,2.5
5/1/2012,15,45,2.5
5/1/2012,16,0,2.62
5/1/2012,16,15,2.43
5/1/2012,16,30,2.43
5/1/2012,16,45,2.62
5/1/2012,17,0,2.82
5/1/2012,17,15,2.82
5/1/2012,17,30,2.82
5/1/2012,17,45,2.37
5/1/2012,18,0,2.37
5/1/2012,18,15,2.37
5/1/2012,18,30,2.37
5/1/2012,18,45,2.37
5/1/2012,19,0,0.83
5/1/2012,19,15,1.22
5/1/2012,19,30,2.69
5/1/2012,19,45,2.69
5/1/2012,20,0,2.69
5/1/2012,20,15,2.69
5/1/2012,20,30,1.02
5/1/2012,20,45,2.37
5/1/2012,21,0,2.43
5/1/2012,21,15,3.39
5/1/2012,21,30,2.82
5/1/2012,21,45,2.82
5/1/2012,22,0,2.5
5/1/2012,22,15,2.5
5/1/2012,22,30,2.5
5/1/2012,22,45,2.5
5/1/2012,23,0,1.34
5/1/2012,23,15,1.34
5/1/2012,23,30,0.9
5/1/2012,23,45,1.02
5/2/2012,0,0,1.54
5/2/2012,0,15,0.96
5/2/2012,0,30,1.02
5/2/2012,0,45,1.02
5/2/2012,1,0,1.02
5/2/2012,1,15,1.02
5/2/2012,1,30,1.02
5/2/2012,1,45,1.02
5/2/2012,2,0,1.02
5/2/2012,2,15,4.93
5/2/2012,2,30,2.43
5/2/2012,2,45,2.43
5/2/2012,3,0,2.43
5/2/2012,3,15,2.43
5/2/2012,3,30,1.28
5/2/2012,3,45,1.28
5/2/2012,4,0,1.28
5/2/2012,4,15,1.28
5/2/2012,4,30,1.28
5/2/2012,4,45,1.28
5/2/2012,5,0,1.28
5/2/2012,5,15,1.28
5/2/2012,5,30,1.28
5/2/2012,5,45,1.28
5/2/2012,6,0,0.77
5/2/2012,6,15,0.77
5/2/2012,6,30,1.28
5/2/2012,6,45,1.28
5/2/2012,7,0,1.28
5/2/2012,7,15,1.28
5/2/2012,7,30,2.69
5/2/2012,7,45,2.69
5/2/2012,8,0,2.69
5/2/2012,8,15,2.69
5/2/2012,8,30,2.69
5/2/2012,8,45,2.69
5/2/2012,9,0,2.69
5/2/2012,9,15,1.02
5/2/2012,9,30,1.02
5/2/2012,9,45,1.02
5/2/2012,10,0,1.02
5/2/2012,10,15,1.02
5/2/2012,10,30,2.3
5/2/2012,10,45,3.58
5/2/2012,11,0,3.78
5/2/2012,11,15,3.52
5/2/2012,11,30,2.5
5/2/2012,11,45,2.43
5/2/2012,12,0,2.43
5/2/2012,12,15,2.43
5/2/2012,12,30,2.43
5/2/2012,12,45,3.9
5/2/2012,13,0,3.84
5/2/2012,13,15,4.29
5/2/2012,13,30,2.82
5/2/2012,13,45,2.37
5/2/2012,14,0,2.37
5/2/2012,14,15,2.82
5/2/2012,14,30,2.82
5/2/2012,14,45,2.82
5/2/2012,15,0,2.82
