Date,Hour,Minute,Power (W)
11/3/2013,0,0,27.33
11/3/2013,0,15,27.46
11/3/2013,0,30,27.55
11/3/2013,0,45,27.65
11/3/2013,1,0,27.68
11/3/2013,1,15,27.53
11/3/2013,1,30,27.56
11/3/2013,1,45,27.65
11/3/2013,2,0,27.71
11/3/2013,2,15,27.6
11/3/2013,2,30,27.64
11/3/2013,2,45,27.54
11/3/2013,3,0,27.3
11/3/2013,3,15,27.14
11/3/2013,3,30,27.2
11/3/2013,3,45,27.24
11/3/2013,4,0,27.18
11/3/2013,4,15,27.12
11/3/2013,4,30,27.24
11/3/2013,4,45,27.18
11/3/2013,5,0,27.24
11/3/2013,5,15,27.24
11/3/2013,5,30,27.2
11/3/2013,5,45,27.42
11/3/2013,6,0,27.31
11/3/2013,6,15,27.47
11/3/2013,6,30,27.5
11/3/2013,6,45,27.58
11/3/2013,7,0,27.7
11/3/2013,7,15,27.55
11/3/2013,7,30,27.82
11/3/2013,7,45,27.74
11/3/2013,8,0,27.66
11/3/2013,8,15,27.54
11/3/2013,8,30,27.4
11/3/2013,8,45,27.58
11/3/2013,9,0,27.61
11/3/2013,9,15,27.65
11/3/2013,9,30,27.52
11/3/2013,9,45,27.44
11/3/2013,10,0,27.51
11/3/2013,10,15,27.42
11/3/2013,10,30,27.3
11/3/2013,10,45,27.42
11/3/2013,11,0,27.53
11/3/2013,11,15,27.56
11/3/2013,11,30,27.55
11/3/2013,11,45,27.51
11/4/2013,12,0,27.4
11/4/2013,12,15,27.33
11/4/2013,12,30,27.53
11/4/2013,12,45,27.46
11/4/2013,13,0,27.49
11/4/2013,13,15,27.49
11/4/2013,13,30,27.46
11/4/2013,13,45,27.44
11/4/2013,15,15,27.44
11/4/2013,15,30,27.54
11/4/2013,15,45,27.53
11/4/2013,16,0,27.56
11/4/2013,16,15,27.59
11/4/2013,16,30,27.63
11/4/2013,16,45,27.68
11/4/2013,17,0,27.67
11/4/2013,17,15,27.72
11/4/2013,17,30,27.74
11/4/2013,17,45,27.83
11/4/2013,18,0,27.81
11/4/2013,18,15,27.81
11/4/2013,18,30,27.73
11/4/2013,18,45,27.65
11/4/2013,19,0,27.6
11/4/2013,19,15,27.45
11/4/2013,19,30,27.35
11/4/2013,19,45,27.34
11/4/2013,20,0,27.38
11/4/2013,20,15,27.6
11/4/2013,20,30,27.46
11/4/2013,20,45,27.42
11/4/2013,21,0,27.17
11/4/2013,21,15,27.28
11/4/2013,21,30,27.4
11/4/2013,21,45,27.51
11/4/2013,22,0,27.56
11/4/2013,22,15,27.48
11/4/2013,22,30,27.55
11/4/2013,22,45,27.63
11/4/2013,23,0,27.54
11/4/2013,23,15,27.44
11/4/2013,23,30,27.52
11/4/2013,23,45,27.7
11/4/2013,0,0,27.63
11/4/2013,0,15,27.27
11/4/2013,0,30,27.35
11/4/2013,0,45,27.46
11/4/2013,1,0,27.49
