Date,Hour,Minute,Power (kW)
5/1/2012,0,0,15.94
5/1/2012,0,15,9.98
5/1/2012,0,30,9.98
5/1/2012,0,45,9.98
5/1/2012,1,0,9.98
5/1/2012,1,15,9.98
5/1/2012,1,30,9.98
5/1/2012,1,45,8.77
5/1/2012,2,0,8.77
5/1/2012,2,15,8.77
5/1/2012,2,30,8.77
5/1/2012,2,45,8.77
5/1/2012,3,0,8.77
5/1/2012,3,15,8.77
5/1/2012,3,30,8.77
5/1/2012,3,45,8.77
5/1/2012,4,0,9.34
5/1/2012,4,15,9.34
5/1/2012,4,30,9.34
5/1/2012,4,45,9.34
5/1/2012,5,0,8.26
5/1/2012,5,15,8.26
5/1/2012,5,30,8.26
5/1/2012,5,45,8.26
5/1/2012,6,0,8.26
5/1/2012,6,15,8.26
5/1/2012,6,30,8.26
5/1/2012,6,45,8.26
5/1/2012,7,0,8.26
5/1/2012,7,15,8.26
5/1/2012,7,30,8.26
5/1/2012,7,45,8.26
5/1/2012,8,0,8.26
5/1/2012,8,15,8.26
5/1/2012,8,30,8.26
5/1/2012,8,45,8.26
5/1/2012,9,0,8.26
5/1/2012,9,15,8.26
5/1/2012,9,30,8.26
5/1/2012,9,45,8.26
5/1/2012,10,0,8.26
5/1/2012,10,15,8.26
5/1/2012,10,30,9.66
5/1/2012,10,45,9.09
5/1/2012,11,0,9.73
5/1/2012,11,15,9.98
5/1/2012,11,30,13.82
5/1/2012,11,45,9.92
5/1/2012,12,0,9.79
5/1/2012,12,15,10.05
5/1/2012,12,30,14.4
5/1/2012,12,45,10.24
5/1/2012,13,0,10.24
5/1/2012,13,15,9.86
5/1/2012,13,30,13.31
5/1/2012,13,45,9.73
5/1/2012,14,0,10.43
5/1/2012,14,15,9.92
5/1/2012,14,30,9.92
5/1/2012,14,45,9.92
5/1/2012,15,0,9.92
5/1/2012,15,15,9.92
5/1/2012,15,30,17.09
5/1/2012,15,45,17.73
5/1/2012,16,0,17.66
5/1/2012,16,15,10.05
5/1/2012,16,30,10.05
5/1/2012,16,45,21.38
5/1/2012,17,0,9.92
5/1/2012,17,15,9.98
5/1/2012,17,30,10.05
5/1/2012,17,45,20.54
5/1/2012,18,0,16.9
5/1/2012,18,15,15.36
5/1/2012,18,30,10.24
5/1/2012,18,45,10.24
5/1/2012,19,0,10.24
5/1/2012,19,15,10.24
5/1/2012,19,30,15.81
5/1/2012,19,45,29.31
5/1/2012,20,0,10.11
5/1/2012,20,15,10.11
5/1/2012,20,30,10.11
5/1/2012,20,45,10.11
5/1/2012,21,0,13.57
5/1/2012,21,15,12.93
5/1/2012,21,30,10.37
5/1/2012,21,45,10.37
5/1/2012,22,0,16.45
5/1/2012,22,15,17.6
5/1/2012,22,30,10.37
5/1/2012,22,45,33.47
5/1/2012,23,0,16.06
5/1/2012,23,15,10.5
5/1/2012,23,30,9.98
5/1/2012,23,45,9.98
5/2/2012,0,0,9.98
5/2/2012,0,15,9.98
5/2/2012,0,30,9.98
5/2/2012,0,45,8.58
5/2/2012,1,0,8.58
5/2/2012,1,15,8.58
5/2/2012,1,30,8.58
5/2/2012,1,45,8.58
5/2/2012,2,0,8.58
5/2/2012,2,15,8.58
5/2/2012,2,30,8.58
5/2/2012,2,45,8.58
5/2/2012,3,0,8.58
5/2/2012,3,15,8.58
5/2/2012,3,30,8.58
5/2/2012,3,45,8.58
5/2/2012,4,0,9.15
5/2/2012,4,15,9.15
5/2/2012,4,30,9.15
5/2/2012,4,45,8.06
5/2/2012,5,0,8.06
5/2/2012,5,15,8.06
5/2/2012,5,30,8.06
5/2/2012,5,45,8.06
5/2/2012,6,0,8.06
5/2/2012,6,15,8.06
5/2/2012,6,30,8.06
5/2/2012,6,45,8.06
5/2/2012,7,0,8.06
5/2/2012,7,15,8.06
5/2/2012,7,30,8.06
5/2/2012,7,45,8.06
5/2/2012,8,0,8.06
5/2/2012,8,15,9.66
5/2/2012,8,30,18.18
5/2/2012,8,45,9.98
5/2/2012,9,0,10.24
5/2/2012,9,15,10.24
5/2/2012,9,30,10.24
5/2/2012,9,45,10.24
5/2/2012,10,0,10.24
5/2/2012,10,15,10.24
5/2/2012,10,30,18.75
5/2/2012,10,45,18.69
5/2/2012,11,0,9.79
5/2/2012,11,15,26.24
5/2/2012,11,30,10.11
5/2/2012,11,45,10.11
5/2/2012,12,0,19.07
5/2/2012,12,15,10.05
5/2/2012,12,30,10.05
5/2/2012,12,45,10.05
5/2/2012,13,0,10.05
5/2/2012,13,15,10.05
5/2/2012,13,30,10.05
5/2/2012,13,45,13.12
5/2/2012,14,0,10.11
5/2/2012,14,15,9.86
5/2/2012,14,30,9.86
5/2/2012,14,45,9.86
